Player,Nation,Squad,Position,Age,Matches,Playing_Time_Starts,Minutes,Performance_Gls,Performance_Ast,Yellow_Cards,Red_Cards,Expected_xG,Expected_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per_90_Minutes_Gls,Per_90_Minutes_Ast,Per_90_Minutes_xG,Per_90_Minutes_xAG,Goals_Against_Per90,Save_Percentage,CleanSheet_Percentage,Penalty_Save_Percentage,Shots_On_Target_Percentage,Shots_On_Target_Per90,Goals_PerShot,Shooting_Distance,Total_Passes_Completed,Total_Passes_Completed_Percentage,Total_Passing_Distance,Short_Passe_Completed_Percentage,Medium_Passes_Completed_Percentage,Long_Passes_Completed_Percentage,Keypasses,Passes_Into_Final_Third,Passes_Into_Penalty_Area,Crossed_Into_Penalty_Area,Progressive_Passes,Shot_Creating_Actions,Shot_Creating_Actions_Per90,Goal_Creating_Actions,Goal_Creating_Actions_Per90,Tackles,Tackles_Won,Defensive_Actions_Attempted,Defensive_Actions_Lost,Blocks,Shots_Blocked,Passes_Blocked,Interceptions,Touches,Touches_Defensive_Penalty_Area,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Take_Ons_Attempted,Take_Ons_Success_Percentage,Take_Ons_Tackled_Percentage,Carries,Total_Carrying_Distance,Progressive_Carrying_Distance,Progressive_Carries,Carries_Into_Final_Third,Carries_Into_Penalty_Area,Miscontrols,Dispossessions,Receiving,Progressive_Receiving,Fouls,Fouled,Offsides,Crosses,Recoveries,Aerial_Duels_Won,Aerial_Duels_Lost,Aerial_Duels_Wonpct
Aaron Ramsdale,ENG,Southampton,GK,26-335,24,24,2160.0,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.37,67.5,8.3,28.6,N/a,0.00,N/a,N/a,655,65.5,18107,100.0,95.8,39.4,0,30,1,0,0,2,0.08,0,0.00,0,0,2,2,0,0,0,2,1076,783,1064,14,0,0,0,N/a,N/a,668,3391,1960,0,0,0,2,0,606,0,1,3,0,0,17,4,0,100.0
Aaron Wan-Bissaka,ENG,West Ham,DF,27-139,31,30,2704.0,2,2,1,0,1.0,2.7,93,118,131,0.07,0.07,0.03,0.09,N/a,N/a,N/a,N/a,30.8,0.13,0.15,15.5,1234,80.9,17639,89.7,82.1,47.9,27,85,27,11,118,75,2.50,5,0.17,61,43,26,7,31,9,22,57,1900,134,610,808,509,38,95,53.7,34.7,887,5707,3193,93,54,12,28,20,1090,131,22,23,4,61,153,22,28,44.0
Abdoulaye Doucouré,MLI,Everton,MF,32-103,28,27,2245.0,3,1,5,1,3.6,2.3,36,70,87,0.12,0.04,0.14,0.09,N/a,N/a,N/a,N/a,30.8,0.32,0.12,13.9,637,79.7,9630,85.1,82.7,73.1,26,41,13,0,70,50,2.00,2,0.08,42,25,33,21,29,6,23,7,1023,30,210,465,362,50,36,50.0,50.0,540,2680,1261,36,22,6,32,32,658,87,44,5,8,22,131,28,38,42.4
Adam Armstrong,ENG,Southampton,"FW,MF",28-063,20,15,1248.0,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,87.3,85.3,46.2,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,1324,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Smith,ENG,Bournemouth,DF,33-350,19,14,1146.0,0,0,5,0,0.6,0.2,10,33,19,0.00,0.00,0.05,0.01,N/a,N/a,N/a,N/a,0.0,0.00,0.00,10.2,344,75.4,5606,86.3,79.8,33.9,5,33,5,2,33,14,1.10,1,0.08,18,9,21,11,10,3,7,12,562,31,181,258,127,3,12,33.3,41.7,241,935,436,10,13,0,10,5,256,19,13,9,0,23,38,9,12,42.9
Adam Wharton,ENG,Crystal Palace,MF,20-316,16,13,1088.0,0,1,2,0,0.3,2.8,11,100,10,0.00,0.08,0.02,0.23,N/a,N/a,N/a,N/a,50.0,0.41,0.00,25.0,469,77.1,8908,83.3,81.8,67.4,23,68,17,5,100,52,4.31,5,0.41,33,14,39,23,10,2,8,16,729,24,172,386,174,8,9,22.2,77.8,358,1627,829,11,16,2,13,12,453,10,10,18,0,29,81,7,15,31.8
Adama Traoré,ESP,Fulham,"FW,MF",29-079,29,16,1482.0,2,5,2,0,3.8,4.1,80,56,135,0.12,0.30,0.23,0.25,N/a,N/a,N/a,N/a,31.4,0.67,0.06,14.3,355,71.9,5579,80.4,74.1,56.8,32,31,26,14,56,66,4.01,8,0.49,15,10,13,8,6,0,6,1,676,2,71,242,383,82,83,48.2,38.6,461,3815,2097,80,39,32,30,18,520,135,19,29,1,82,72,23,22,51.1
Alejandro Garnacho,ARG,Manchester Utd,"MF,FW",20-287,31,20,1876.0,5,1,2,0,6.2,2.8,122,47,249,0.24,0.05,0.30,0.13,N/a,N/a,N/a,N/a,37.5,1.30,0.07,16.9,539,79.4,7606,89.3,82.1,59.1,26,19,21,3,47,64,3.07,4,0.19,27,17,29,19,16,0,16,10,967,13,113,313,557,141,76,28.9,61.8,702,5356,2758,122,62,58,51,41,736,249,9,36,9,42,100,3,22,12.0
Alex Iwobi,NGA,Fulham,"FW,MF",28-346,31,29,2463.0,8,5,1,0,4.1,6.2,119,171,202,0.29,0.18,0.15,0.23,N/a,N/a,N/a,N/a,43.9,0.91,0.14,18.3,935,74.6,16156,86.1,77.7,55.8,51,94,68,13,171,109,3.98,15,0.55,36,20,27,10,22,1,21,10,1533,31,211,615,731,98,80,50.0,45.0,1088,6599,3621,119,90,34,52,37,1192,202,15,16,4,98,119,4,27,12.9
Alexander Isak,SWE,Newcastle Utd,FW,25-205,28,28,2265.0,20,6,1,0,16.6,4.0,74,73,180,0.79,0.24,0.66,0.16,N/a,N/a,N/a,N/a,44.0,1.31,0.24,14.4,425,73.4,6068,82.4,77.2,62.9,37,32,23,1,73,80,3.18,14,0.56,12,5,12,7,17,2,15,3,864,19,52,322,504,156,83,49.4,49.4,524,3280,1672,74,39,40,57,48,610,180,24,12,19,14,50,23,44,34.3
Alexis Mac Allister,ARG,Liverpool,MF,26-111,31,28,2381.0,4,4,6,0,2.7,4.3,31,158,72,0.15,0.15,0.10,0.16,N/a,N/a,N/a,N/a,34.3,0.45,0.11,18.2,1165,83.5,18587,89.9,88.3,57.2,38,112,32,1,158,108,4.08,14,0.53,85,51,91,43,57,5,52,20,1702,50,257,892,569,55,39,38.5,51.3,834,3413,1781,31,38,3,26,20,1132,72,58,38,2,70,132,18,31,36.7
Alisson,BRA,Liverpool,GK,32-194,22,22,1968.0,0,0,0,0,0.0,0.6,0,0,0,0.00,0.00,0.00,0.03,0.87,72.1,36.4,N/a,N/a,0.00,N/a,N/a,564,82.5,12593,98.8,98.7,47.1,1,10,0,0,0,6,0.27,1,0.05,1,0,1,1,0,0,0,0,726,534,712,14,0,0,1,100.0,0.0,465,1862,1093,0,0,0,1,0,430,0,0,1,0,0,38,6,0,100.0
Alphonse Areola,FRA,West Ham,GK,32-046,21,20,1810.0,0,0,0,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,1.69,62.2,20.0,N/a,N/a,0.00,N/a,N/a,560,69.7,15101,99.1,94.8,43.4,0,7,0,0,0,3,0.15,0,0.00,2,2,3,1,0,0,0,0,852,688,846,7,0,0,0,N/a,N/a,479,1981,1066,0,0,0,0,0,441,0,0,0,0,0,23,2,0,100.0
Amad Diallo,CIV,Manchester Utd,"FW,MF",22-277,22,17,1594.0,6,6,3,0,4.1,3.9,92,53,159,0.34,0.34,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.90,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,4482,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
Amadou Onana,BEL,Aston Villa,MF,23-241,20,16,1254.0,2,0,4,0,1.9,0.3,20,57,13,0.14,0.00,0.13,0.02,N/a,N/a,N/a,N/a,33.3,0.36,0.13,14.8,560,88.6,8829,94.7,90.2,71.4,7,48,8,1,57,23,1.65,4,0.29,45,24,24,10,13,6,7,23,791,54,206,473,125,17,16,62.5,18.8,445,2285,1212,20,19,1,10,8,534,13,28,23,0,1,61,22,17,56.4
Andreas Pereira,BRA,Fulham,MF,29-103,28,20,1676.0,2,4,7,0,3.4,3.9,21,96,71,0.11,0.21,0.18,0.21,N/a,N/a,N/a,N/a,25.0,0.43,0.06,21.8,590,69.3,10713,83.3,79.0,41.3,49,60,19,4,96,91,4.89,8,0.43,22,12,37,27,15,2,13,8,1002,16,145,416,456,34,27,44.4,25.9,511,2335,1114,21,31,6,20,19,593,71,23,21,1,141,90,12,17,41.4
Andrew Robertson,SCO,Liverpool,DF,31-034,30,26,2218.0,0,0,3,1,0.9,4.1,57,163,90,0.00,0.00,0.04,0.17,N/a,N/a,N/a,N/a,16.7,0.08,0.00,15.0,1405,83.2,23582,94.4,87.0,46.7,38,139,27,15,163,73,2.96,3,0.12,38,22,47,17,9,4,5,20,1877,85,475,856,559,47,18,38.9,55.6,998,4423,2541,57,48,6,24,10,1255,90,10,7,2,131,89,6,12,33.3
André,BRA,Wolves,MF,23-272,27,25,1997.0,0,0,6,0,0.3,0.6,8,86,11,0.00,0.00,0.01,0.03,N/a,N/a,N/a,N/a,14.3,0.05,0.00,22.5,968,92.6,15396,95.1,95.1,79.7,12,91,4,0,86,41,1.85,3,0.14,64,41,51,23,40,8,32,28,1268,78,347,821,114,3,24,50.0,33.3,701,2942,1289,8,14,0,25,14,851,11,32,30,0,0,156,2,6,25.0
André Onana,CMR,Manchester Utd,GK,29-012,31,31,2790.0,0,0,0,0,0.0,0.2,0,1,0,0.00,0.00,0.00,0.01,1.32,69.8,29.0,25.0,N/a,0.00,N/a,N/a,868,72.8,20571,99.0,99.2,36.0,1,23,0,0,1,4,0.13,0,0.00,1,1,3,2,0,0,0,0,1256,951,1235,22,0,0,0,N/a,N/a,889,4545,2530,0,0,0,1,0,768,0,0,2,0,0,29,6,0,100.0
Anthony Elanga,SWE,Nott'ham Forest,FW,22-352,32,25,2007.0,6,8,1,0,3.9,4.3,79,47,162,0.27,0.36,0.18,0.19,N/a,N/a,N/a,N/a,45.7,0.72,0.17,16.8,418,65.2,6008,84.1,63.4,33.7,39,26,22,6,47,81,3.64,13,0.58,17,12,16,12,9,1,8,5,886,29,124,254,524,86,71,31.0,45.1,462,3604,2068,79,41,36,64,34,583,162,6,32,12,140,77,21,32,39.6
Anthony Gordon,ENG,Newcastle Utd,FW,24-049,27,25,2121.0,6,5,2,0,7.8,4.9,104,88,188,0.25,0.21,0.33,0.21,N/a,N/a,N/a,N/a,28.8,0.64,0.10,16.2,618,72.1,9497,85.4,77.0,41.1,49,56,49,16,88,96,4.08,12,0.51,30,17,33,21,24,2,22,6,1109,16,110,416,601,122,93,37.6,45.2,712,5234,2813,104,52,54,28,34,793,188,19,58,7,116,89,5,7,41.7
Antoine Semenyo,GHA,Bournemouth,FW,25-097,30,30,2645.0,7,4,9,0,8.9,5.2,124,93,242,0.24,0.14,0.30,0.18,N/a,N/a,N/a,N/a,31.3,1.19,0.06,17.2,659,72.8,9379,84.8,74.9,38.4,40,43,39,7,93,112,3.81,11,0.37,50,32,40,26,54,7,47,7,1361,36,162,472,759,169,116,51.7,42.2,817,6173,3060,124,61,62,72,63,948,242,62,32,14,50,134,56,66,45.9
Antonee Robinson,USA,Fulham,DF,27-249,31,30,2719.0,0,10,7,0,0.7,4.0,106,112,238,0.00,0.33,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.07,0.00,22.1,1395,76.7,23848,86.8,79.4,55.9,40,105,50,26,112,73,2.42,11,0.36,82,54,82,39,34,5,29,53,2196,112,688,849,691,58,71,45.1,39.4,1170,6454,3747,106,55,26,38,16,1317,238,28,17,5,146,131,42,23,64.6
Archie Gray,ENG,Tottenham,"DF,MF",19-033,23,14,1346.0,0,0,0,0,0.0,0.1,5,31,15,0.00,0.00,0.00,0.01,N/a,N/a,N/a,N/a,100.0,0.07,0.00,24.6,900,88.8,15780,92.5,93.0,61.4,2,37,0,0,31,5,0.33,0,0.00,12,6,16,10,19,10,9,10,1117,133,542,507,78,2,9,44.4,44.4,788,3612,1492,5,5,0,7,10,849,15,9,11,0,12,56,9,8,52.9
Arijanet Muric,KVX,Ipswich Town,GK,26-158,18,18,1620.0,0,0,1,0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,1.83,70.0,5.6,0.0,N/a,0.00,N/a,N/a,454,71.7,11705,100.0,97.3,40.6,0,14,0,0,1,1,0.06,0,0.00,0,0,2,2,0,0,0,0,689,559,672,18,0,0,0,N/a,N/a,405,2088,1178,0,0,0,3,1,321,0,0,4,0,0,26,11,1,91.7
Ashley Young,ENG,Everton,"DF,FW",39-279,27,17,1586.0,1,3,6,1,0.3,1.6,19,81,25,0.06,0.17,0.02,0.09,N/a,N/a,N/a,N/a,50.0,0.17,0.17,24.5,591,69.7,10908,87.6,75.7,40.8,19,68,17,8,81,36,2.04,6,0.34,50,28,49,18,10,3,7,22,1015,51,311,433,276,9,14,35.7,50.0,397,2047,1176,19,24,1,8,1,513,25,24,17,0,63,60,10,10,50.0
Axel Tuanzebe,COD,Ipswich Town,DF,27-151,17,16,1355.0,0,1,5,1,0.2,0.3,8,45,8,0.00,0.07,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,15.7,511,83.0,7878,90.8,82.0,57.5,4,49,2,0,45,11,0.73,2,0.13,28,16,24,8,13,6,7,21,749,75,318,336,101,6,10,40.0,60.0,322,1446,703,8,6,1,11,1,392,8,12,11,0,6,41,12,16,42.9
Bart Verbruggen,NED,Brighton,GK,22-239,30,30,2700.0,0,1,5,0,0.0,0.0,0,2,0,0.00,0.03,0.00,0.00,1.60,64.7,20.0,0.0,N/a,0.00,N/a,N/a,871,78.3,20436,99.2,98.1,46.9,1,15,1,0,2,5,0.17,1,0.03,0,0,2,2,1,0,1,0,1186,944,1173,13,0,0,2,100.0,0.0,797,2902,1433,0,1,1,2,0,766,0,0,2,0,0,53,10,1,90.9
Ben Davies,WAL,Tottenham,DF,31-355,11,10,901.0,0,0,3,0,0.3,0.2,7,43,5,0.00,0.00,0.03,0.02,N/a,N/a,N/a,N/a,25.0,0.10,0.00,12.9,662,90.1,12311,93.2,95.0,70.0,2,35,1,0,43,4,0.40,0,0.00,10,6,12,7,18,11,7,10,848,147,444,369,35,11,1,100.0,0.0,492,2387,1323,7,5,0,4,0,577,5,11,3,0,2,30,39,33,54.2
Ben Johnson,ENG,Ipswich Town,"DF,FW",25-080,20,12,1222.0,1,2,3,0,1.1,1.3,15,25,31,0.07,0.15,0.08,0.09,N/a,N/a,N/a,N/a,42.9,0.22,0.14,12.6,279,71.2,4535,85.9,75.4,47.9,12,21,2,2,25,23,1.70,5,0.37,34,22,39,21,21,5,16,12,586,56,226,208,155,12,21,33.3,57.1,237,1397,548,15,11,3,22,16,270,31,24,6,1,34,52,19,17,52.8
Bernardo Silva,POR,Manchester City,"MF,FW",30-247,27,23,2131.0,2,4,6,0,3.0,4.2,84,99,169,0.08,0.17,0.13,0.18,N/a,N/a,N/a,N/a,33.3,0.38,0.07,13.0,1163,86.5,17580,91.6,87.7,66.3,42,64,27,7,99,76,3.21,7,0.30,47,30,46,24,26,6,20,18,1556,37,270,612,690,125,53,47.2,41.5,969,6251,3170,84,54,30,18,30,1145,169,21,25,3,48,80,4,10,28.6
Bernd Leno,GER,Fulham,GK,33-041,31,31,2790.0,0,1,4,0,0.0,0.1,0,0,0,0.00,0.03,0.00,0.00,1.35,68.3,16.1,0.0,N/a,0.00,N/a,N/a,945,80.6,23152,99.5,98.9,46.3,2,14,2,0,0,5,0.16,2,0.06,2,2,2,0,1,0,1,0,1227,972,1218,9,0,0,0,N/a,N/a,809,3197,1770,0,0,0,0,0,730,0,0,3,0,0,44,9,0,100.0
Beto,GNB,Everton,FW,27-073,24,10,1101.0,6,0,2,0,6.1,0.8,12,9,58,0.49,0.00,0.49,0.06,N/a,N/a,N/a,N/a,51.5,1.39,0.18,13.3,111,57.2,1513,68.8,49.2,87.5,8,5,2,0,9,17,1.39,0,0.00,12,6,7,2,5,1,4,3,376,20,39,165,177,63,30,53.3,43.3,201,1003,379,12,8,9,48,29,272,58,28,16,12,2,29,69,83,45.4
Bilal El Khannouss,MAR,Leicester City,MF,20-339,27,22,1748.0,2,2,4,0,0.8,3.1,59,110,71,0.10,0.10,0.04,0.16,N/a,N/a,N/a,N/a,28.6,0.31,0.10,22.5,657,74.9,11744,85.5,80.5,57.1,29,75,25,5,110,55,2.84,4,0.21,44,24,21,8,17,3,14,5,1038,13,143,538,369,27,43,60.5,37.2,595,3628,1699,59,37,9,32,30,695,71,25,8,0,71,75,18,16,52.9
Boubacar Kamara,FRA,Aston Villa,MF,25-142,20,14,1202.0,0,0,2,0,0.4,0.5,16,65,5,0.00,0.00,0.03,0.04,N/a,N/a,N/a,N/a,16.7,0.07,0.00,19.7,614,89.1,9590,93.7,91.2,52.4,8,68,7,0,65,19,1.42,2,0.15,44,18,48,22,15,5,10,14,833,82,259,480,99,8,22,36.4,31.8,432,2138,1020,16,10,1,7,9,556,5,19,24,0,1,61,14,16,46.7
Boubakary Soumaré,FRA,Leicester City,MF,26-046,25,21,1818.0,0,0,8,0,0.3,0.4,30,93,21,0.00,0.00,0.01,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.4,929,86.9,14175,92.3,87.4,72.0,11,90,13,2,93,34,1.68,3,0.15,32,17,30,12,15,6,9,24,1240,54,320,786,147,16,42,61.9,28.6,734,3444,1785,30,16,3,20,21,867,21,20,18,0,8,126,16,8,66.7
Brennan Johnson,WAL,Tottenham,FW,23-326,29,22,1969.0,11,3,5,0,9.8,2.3,56,66,186,0.50,0.14,0.45,0.10,N/a,N/a,N/a,N/a,37.7,0.91,0.21,11.4,428,71.7,5637,81.1,75.1,39.3,19,25,33,6,66,45,2.06,7,0.32,39,26,31,15,22,3,19,4,797,16,88,271,450,118,41,46.3,46.3,510,2738,1378,56,20,32,23,16,587,186,25,22,9,50,58,7,20,25.9
Bruno Fernandes,POR,Manchester Utd,MF,30-218,31,31,2636.0,8,9,4,2,8.8,6.8,60,254,113,0.27,0.31,0.30,0.23,N/a,N/a,N/a,N/a,30.3,0.79,0.07,21.7,1421,74.9,25059,86.3,80.1,52.7,77,166,60,9,254,156,5.33,12,0.41,73,44,74,45,30,4,26,24,2245,58,379,1063,825,69,63,41.3,49.2,1300,6086,3163,60,56,10,35,37,1566,113,26,37,2,162,182,20,26,43.5
Bruno Guimarães,BRA,Newcastle Utd,MF,27-149,31,31,2661.0,4,6,4,0,3.4,5.4,45,217,72,0.14,0.20,0.12,0.18,N/a,N/a,N/a,N/a,26.5,0.30,0.12,16.5,1186,81.8,19496,90.2,87.1,58.2,41,147,56,5,217,99,3.35,16,0.54,68,40,60,31,31,9,22,25,1792,66,379,935,496,54,64,43.8,31.3,1165,6379,2799,45,35,8,48,71,1339,72,47,94,2,20,150,16,13,55.2
Bryan Mbeumo,CMR,Brentford,FW,25-250,32,32,2874.0,16,5,2,0,10.0,7.1,107,120,292,0.50,0.16,0.31,0.22,N/a,N/a,N/a,N/a,45.2,0.88,0.18,17.8,730,66.9,11615,79.1,73.2,36.3,56,47,53,15,120,119,3.73,15,0.47,37,23,25,11,21,3,18,13,1466,45,209,464,820,129,88,43.2,43.2,884,5628,2923,107,60,62,86,38,996,292,22,36,11,163,134,31,65,32.3
Bukayo Saka,ENG,Arsenal,"FW,MF",23-221,19,16,1366.0,6,10,3,0,5.2,6.0,75,56,208,0.40,0.66,0.34,0.40,N/a,N/a,N/a,N/a,36.0,1.19,0.10,16.2,428,74.2,6693,89.0,72.5,48.8,43,12,30,10,56,92,6.06,21,1.38,23,13,20,10,17,0,17,2,780,6,43,175,569,127,82,45.1,40.2,492,3390,1942,75,22,40,26,36,558,208,13,34,4,106,59,8,18,30.8
Caleb Okoli,ITA,Leicester City,DF,23-275,18,12,1124.0,1,0,4,0,0.6,0.0,3,32,2,0.08,0.00,0.05,0.00,N/a,N/a,N/a,N/a,50.0,0.16,0.25,13.5,558,86.4,9738,91.3,91.0,55.4,0,21,1,0,32,4,0.32,0,0.00,25,14,18,7,24,14,10,15,804,152,450,324,35,10,0,N/a,N/a,467,2304,1106,3,6,0,10,2,483,2,16,9,0,1,44,23,21,52.3
Callum Hudson-Odoi,ENG,Nott'ham Forest,FW,24-158,27,24,2074.0,5,2,2,0,2.5,2.7,123,66,186,0.22,0.09,0.11,0.12,N/a,N/a,N/a,N/a,45.9,0.74,0.14,18.3,654,82.2,9550,92.4,81.6,50.0,44,35,30,10,66,94,4.08,11,0.48,18,13,14,5,10,0,10,13,976,14,104,310,585,72,59,55.9,30.5,609,5107,3224,123,59,45,44,23,745,186,11,19,8,74,88,3,10,23.1
Calvin Bassey,NGA,Fulham,DF,25-104,29,28,2534.0,1,0,5,0,1.0,0.1,23,89,12,0.04,0.00,0.04,0.00,N/a,N/a,N/a,N/a,30.8,0.14,0.08,15.0,1586,89.6,27959,94.6,94.3,61.3,2,112,1,0,89,18,0.64,2,0.07,47,29,26,7,36,17,19,16,2023,270,990,948,105,16,27,44.4,33.3,1295,6355,3562,23,14,4,27,7,1396,12,19,29,2,5,140,34,29,54.0
Cameron Archer,ENG,Southampton,FW,23-267,29,13,1314.0,2,0,0,0,5.1,0.4,18,14,62,0.14,0.00,0.35,0.03,N/a,N/a,N/a,N/a,33.3,0.62,0.07,13.1,179,81.4,2347,86.4,90.7,55.6,3,6,7,0,14,17,1.17,0,0.00,11,7,9,7,5,1,4,2,344,15,55,155,137,47,29,44.8,51.7,198,1008,477,18,8,13,32,24,239,62,15,12,7,3,32,8,27,22.9
