 ,  ,Median of Age,Mean of Age,Std of Age,Median of Matches,Mean of Matches,Std of Matches,Median of Playing_Time_Starts,Mean of Playing_Time_Starts,Std of Playing_Time_Starts,Median of Minutes,Mean of Minutes,Std of Minutes,Median of Performance_Gls,Mean of Performance_Gls,Std of Performance_Gls,Median of Performance_Ast,Mean of Performance_Ast,Std of Performance_Ast,Median of Yellow_Cards,Mean of Yellow_Cards,Std of Yellow_Cards,Median of Red_Cards,Mean of Red_Cards,Std of Red_Cards,Median of Expected_xG,Mean of Expected_xG,Std of Expected_xG,Median of Expected_xAG,Mean of Expected_xAG,Std of Expected_xAG,Median of Progression_PrgC,Mean of Progression_PrgC,Std of Progression_PrgC,Median of Progression_PrgP,Mean of Progression_PrgP,Std of Progression_PrgP,Median of Progression_PrgR,Mean of Progression_PrgR,Std of Progression_PrgR,Median of Per_90_Minutes_Gls,Mean of Per_90_Minutes_Gls,Std of Per_90_Minutes_Gls,Median of Per_90_Minutes_Ast,Mean of Per_90_Minutes_Ast,Std of Per_90_Minutes_Ast,Median of Per_90_Minutes_xG,Mean of Per_90_Minutes_xG,Std of Per_90_Minutes_xG,Median of Per_90_Minutes_xAG,Mean of Per_90_Minutes_xAG,Std of Per_90_Minutes_xAG,Median of Goals_Against_Per90,Mean of Goals_Against_Per90,Std of Goals_Against_Per90,Median of Save_Percentage,Mean of Save_Percentage,Std of Save_Percentage,Median of CleanSheet_Percentage,Mean of CleanSheet_Percentage,Std of CleanSheet_Percentage,Median of Penalty_Save_Percentage,Mean of Penalty_Save_Percentage,Std of Penalty_Save_Percentage,Median of Shots_On_Target_Percentage,Mean of Shots_On_Target_Percentage,Std of Shots_On_Target_Percentage,Median of Shots_On_Target_Per90,Mean of Shots_On_Target_Per90,Std of Shots_On_Target_Per90,Median of Goals_PerShot,Mean of Goals_PerShot,Std of Goals_PerShot,Median of Shooting_Distance,Mean of Shooting_Distance,Std of Shooting_Distance,Median of Total_Passes_Completed,Mean of Total_Passes_Completed,Std of Total_Passes_Completed,Median of Total_Passes_Completed_Percentage,Mean of Total_Passes_Completed_Percentage,Std of Total_Passes_Completed_Percentage,Median of Total_Passing_Distance,Mean of Total_Passing_Distance,Std of Total_Passing_Distance,Median of Short_Passe_Completed_Percentage,Mean of Short_Passe_Completed_Percentage,Std of Short_Passe_Completed_Percentage,Median of Medium_Passes_Completed_Percentage,Mean of Medium_Passes_Completed_Percentage,Std of Medium_Passes_Completed_Percentage,Median of Long_Passes_Completed_Percentage,Mean of Long_Passes_Completed_Percentage,Std of Long_Passes_Completed_Percentage,Median of Keypasses,Mean of Keypasses,Std of Keypasses,Median of Passes_Into_Final_Third,Mean of Passes_Into_Final_Third,Std of Passes_Into_Final_Third,Median of Passes_Into_Penalty_Area,Mean of Passes_Into_Penalty_Area,Std of Passes_Into_Penalty_Area,Median of Crossed_Into_Penalty_Area,Mean of Crossed_Into_Penalty_Area,Std of Crossed_Into_Penalty_Area,Median of Progressive_Passes,Mean of Progressive_Passes,Std of Progressive_Passes,Median of Shot_Creating_Actions,Mean of Shot_Creating_Actions,Std of Shot_Creating_Actions,Median of Shot_Creating_Actions_Per90,Mean of Shot_Creating_Actions_Per90,Std of Shot_Creating_Actions_Per90,Median of Goal_Creating_Actions,Mean of Goal_Creating_Actions,Std of Goal_Creating_Actions,Median of Goal_Creating_Actions_Per90,Mean of Goal_Creating_Actions_Per90,Std of Goal_Creating_Actions_Per90,Median of Tackles,Mean of Tackles,Std of Tackles,Median of Tackles_Won,Mean of Tackles_Won,Std of Tackles_Won,Median of Defensive_Actions_Attempted,Mean of Defensive_Actions_Attempted,Std of Defensive_Actions_Attempted,Median of Defensive_Actions_Lost,Mean of Defensive_Actions_Lost,Std of Defensive_Actions_Lost,Median of Blocks,Mean of Blocks,Std of Blocks,Median of Shots_Blocked,Mean of Shots_Blocked,Std of Shots_Blocked,Median of Passes_Blocked,Mean of Passes_Blocked,Std of Passes_Blocked,Median of Interceptions,Mean of Interceptions,Std of Interceptions,Median of Touches,Mean of Touches,Std of Touches,Median of Touches_Defensive_Penalty_Area,Mean of Touches_Defensive_Penalty_Area,Std of Touches_Defensive_Penalty_Area,Median of Touches_Def_3rd,Mean of Touches_Def_3rd,Std of Touches_Def_3rd,Median of Touches_Mid_3rd,Mean of Touches_Mid_3rd,Std of Touches_Mid_3rd,Median of Touches_Att_3rd,Mean of Touches_Att_3rd,Std of Touches_Att_3rd,Median of Touches_Att_Pen,Mean of Touches_Att_Pen,Std of Touches_Att_Pen,Median of Take_Ons_Attempted,Mean of Take_Ons_Attempted,Std of Take_Ons_Attempted,Median of Take_Ons_Success_Percentage,Mean of Take_Ons_Success_Percentage,Std of Take_Ons_Success_Percentage,Median of Take_Ons_Tackled_Percentage,Mean of Take_Ons_Tackled_Percentage,Std of Take_Ons_Tackled_Percentage,Median of Carries,Mean of Carries,Std of Carries,Median of Total_Carrying_Distance,Mean of Total_Carrying_Distance,Std of Total_Carrying_Distance,Median of Progressive_Carrying_Distance,Mean of Progressive_Carrying_Distance,Std of Progressive_Carrying_Distance,Median of Progressive_Carries,Mean of Progressive_Carries,Std of Progressive_Carries,Median of Carries_Into_Final_Third,Mean of Carries_Into_Final_Third,Std of Carries_Into_Final_Third,Median of Carries_Into_Penalty_Area,Mean of Carries_Into_Penalty_Area,Std of Carries_Into_Penalty_Area,Median of Miscontrols,Mean of Miscontrols,Std of Miscontrols,Median of Dispossessions,Mean of Dispossessions,Std of Dispossessions,Median of Receiving,Mean of Receiving,Std of Receiving,Median of Progressive_Receiving,Mean of Progressive_Receiving,Std of Progressive_Receiving,Median of Fouls,Mean of Fouls,Std of Fouls,Median of Fouled,Mean of Fouled,Std of Fouled,Median of Offsides,Mean of Offsides,Std of Offsides,Median of Crosses,Mean of Crosses,Std of Crosses,Median of Recoveries,Mean of Recoveries,Std of Recoveries,Median of Aerial_Duels_Won,Mean of Aerial_Duels_Won,Std of Aerial_Duels_Won,Median of Aerial_Duels_Lost,Mean of Aerial_Duels_Lost,Std of Aerial_Duels_Lost,Median of Aerial_Duels_Wonpct,Mean of Aerial_Duels_Wonpct,Std of Aerial_Duels_Wonpct
1,All,26.51,26.87,4.21,20.0,19.05,8.84,13.5,14.03,9.78,1187.5,1257.3,825.7,0.0,1.82,3.26,1.0,1.35,2.03,2.0,2.7,2.38,0.0,0.08,0.3,0.7,1.86,2.87,0.7,1.37,1.71,13.0,23.93,28.17,34.5,47.14,45.13,21.0,46.52,58.73,0.0,0.12,0.19,0.04,0.09,0.12,0.07,0.13,0.16,0.07,0.1,0.1,1.5,1.63,0.65,69.8,67.33,8.48,20.7,23.91,22.68,0.0,16.6,30.3,29.25,29.63,20.58,0.23,0.41,0.49,0.06,0.08,0.11,16.4,16.74,5.11,412.0,505.26,415.07,80.0,79.31,8.23,6640.0,8679.73,7501.79,89.6,88.71,6.74,85.7,84.02,10.17,53.45,54.42,16.51,7.0,12.45,14.02,26.5,39.53,40.52,6.0,10.52,12.94,1.0,2.47,3.87,34.5,47.14,45.13,18.0,29.13,29.36,1.8,2.08,1.43,2.0,3.16,3.84,0.15,0.21,0.22,16.0,22.79,20.84,10.0,13.58,12.83,15.5,20.71,18.81,7.0,10.17,9.58,11.0,14.03,12.55,2.0,4.74,6.73,7.0,9.3,8.59,6.5,10.37,10.88,661.0,764.93,563.27,30.0,86.38,158.85,143.0,253.69,278.54,255.5,325.33,284.34,121.5,193.48,192.13,18.0,31.6,37.64,12.0,23.55,28.86,44.7,46.85,23.72,44.3,42.01,22.44,360.5,428.86,323.95,1900.5,2302.38,1782.07,931.5,1188.14,987.23,13.0,23.93,28.17,11.0,16.03,16.75,2.0,7.53,13.19,11.0,17.37,17.84,7.0,12.23,13.7,433.5,500.04,379.24,21.0,46.52,58.73,10.0,14.19,12.71,9.5,13.76,13.43,1.0,2.19,3.66,8.0,22.17,32.6,42.0,53.54,42.44,9.0,16.59,19.35,11.0,16.57,16.97,50.0,48.75,21.61
2,Arsenal,26.8,26.43,3.82,21.0,20.55,7.66,15.0,15.5,9.75,1333.5,1384.77,841.36,2.0,2.45,2.54,1.0,1.95,2.46,2.5,2.82,1.87,0.0,0.23,0.53,1.55,2.29,2.4,0.8,1.73,1.99,21.0,31.18,29.38,52.0,67.55,55.66,47.5,66.64,67.68,0.1,0.16,0.17,0.08,0.13,0.17,0.1,0.16,0.14,0.08,0.14,0.17,0.84,0.84,0.0,77.0,77.0,0.0,35.5,35.5,0.0,0.0,0.0,0.0,28.6,29.36,23.81,0.22,0.41,0.42,0.1,0.15,0.22,14.1,14.41,5.01,410.5,617.27,508.82,81.1,81.33,6.45,6057.0,10111.14,8980.09,90.85,90.46,5.0,85.9,83.65,9.27,52.55,54.53,10.7,9.5,15.32,15.44,33.5,50.41,48.23,8.5,15.59,15.6,1.5,2.77,3.37,52.0,67.55,55.66,20.5,34.91,30.04,2.28,2.48,1.54,3.0,4.32,5.07,0.24,0.28,0.31,18.5,22.86,19.96,11.5,13.41,12.13,20.0,19.5,14.07,10.0,9.68,6.8,10.0,12.36,10.44,1.5,4.0,6.59,7.5,8.36,6.72,5.0,8.5,8.19,713.0,878.64,621.48,22.5,67.77,150.4,109.5,224.55,298.99,255.5,380.95,352.53,223.5,280.0,213.2,32.5,46.91,42.69,22.0,27.82,27.26,44.1,46.25,23.12,38.9,39.88,20.97,372.0,510.05,369.92,2119.0,2716.41,1845.81,1118.5,1436.95,985.9,21.0,31.18,29.38,14.0,18.77,16.18,4.0,10.5,13.32,15.0,17.82,14.04,12.0,14.23,12.22,489.5,611.05,445.46,47.5,66.64,67.68,13.0,15.82,10.81,15.0,15.18,11.38,1.0,3.18,3.74,10.5,29.5,39.67,43.0,53.18,36.29,9.5,18.5,19.22,15.0,17.55,17.4,52.45,49.17,19.32
3,Aston Villa,27.56,27.07,4.04,19.0,17.14,9.28,8.5,12.18,10.51,850.5,1093.93,840.19,0.0,1.61,3.01,0.0,1.29,1.92,2.0,2.25,2.08,0.0,0.07,0.26,0.7,1.66,2.77,0.35,1.25,1.77,16.0,21.14,21.25,32.0,38.5,41.07,14.0,38.14,46.79,0.0,0.17,0.29,0.0,0.1,0.14,0.08,0.18,0.22,0.06,0.09,0.13,1.72,1.72,0.39,60.45,60.45,6.86,56.65,56.65,61.31,50.0,50.0,0.0,27.3,30.19,22.91,0.16,0.46,0.67,0.04,0.08,0.09,16.5,16.64,4.91,358.5,435.93,377.67,81.85,81.18,7.23,5233.5,7441.79,7003.2,91.35,89.91,5.62,87.05,86.22,8.21,53.45,54.92,15.05,4.5,10.29,13.41,20.5,33.04,39.55,5.5,9.21,11.2,0.0,1.75,3.51,32.0,38.5,41.07,17.0,24.54,26.01,1.82,2.07,1.45,2.0,2.96,3.28,0.17,0.24,0.25,10.0,18.86,18.58,5.5,10.79,11.18,9.5,16.0,17.17,4.5,7.04,7.33,7.5,9.93,8.47,2.0,3.29,4.04,5.5,6.64,5.88,5.0,7.21,7.6,586.0,641.32,509.94,27.0,76.68,168.1,123.0,217.18,266.89,214.0,275.11,263.9,101.0,155.39,153.28,14.5,27.54,34.34,16.0,22.14,27.18,50.0,51.51,25.3,41.2,38.22,22.9,342.0,363.5,281.62,1933.5,2011.96,1482.9,984.0,1053.07,838.53,16.0,21.14,21.25,12.5,13.36,11.97,2.0,6.21,9.71,7.0,14.96,18.94,6.5,11.36,13.85,419.5,427.93,342.41,14.0,38.14,46.79,8.0,12.5,12.73,8.0,14.68,16.02,1.0,1.71,2.46,4.5,17.5,32.48,36.0,41.46,32.59,8.0,11.07,10.74,8.0,12.39,12.88,50.0,41.41,23.3
4,Bournemouth,25.93,26.4,3.84,22.0,19.78,8.89,14.0,14.78,10.48,1380.0,1323.65,888.29,1.0,2.17,3.34,1.0,1.61,2.02,3.0,3.3,2.85,0.0,0.04,0.21,1.0,2.53,3.36,1.1,1.68,1.75,18.0,26.7,31.38,36.0,52.65,47.65,22.0,51.87,65.52,0.03,0.14,0.19,0.05,0.11,0.12,0.08,0.19,0.21,0.09,0.13,0.15,1.0,1.12,0.21,80.0,79.33,5.63,20.0,13.6,11.78,0.0,0.0,0.0,30.85,25.24,17.69,0.17,0.56,0.67,0.06,0.06,0.06,15.8,15.4,4.72,344.0,444.43,360.6,73.3,73.81,6.8,5606.0,8110.57,6973.02,87.8,86.7,7.34,79.8,81.38,10.82,46.6,47.42,19.18,10.0,16.26,15.59,33.0,44.09,43.63,6.0,12.09,12.56,2.0,3.52,4.85,36.0,52.65,47.65,26.0,37.39,34.0,2.35,2.62,1.92,2.0,3.74,3.92,0.23,0.24,0.21,20.0,25.96,21.72,9.0,15.09,13.73,21.0,23.3,19.75,12.0,12.26,9.92,12.0,16.57,15.23,2.0,4.74,6.5,8.0,11.83,11.48,8.0,13.09,14.47,749.0,755.57,556.56,36.0,78.35,130.22,131.0,227.22,246.22,255.0,323.3,287.93,99.0,214.65,216.85,19.0,36.7,45.04,14.0,24.7,29.35,41.15,42.5,19.69,46.6,43.74,19.47,407.0,407.0,303.49,2051.0,2350.3,1952.54,936.0,1256.78,1113.88,18.0,26.7,31.38,14.0,17.87,18.09,1.0,8.61,15.25,17.0,21.22,19.31,7.0,12.7,15.41,378.0,439.91,325.94,22.0,51.87,65.52,14.0,18.43,16.78,9.0,13.87,12.41,0.0,2.52,4.62,10.0,29.65,37.11,52.0,66.61,53.89,20.0,20.35,18.78,22.0,22.3,18.46,44.4,49.03,18.02
5,Brentford,25.22,26.4,3.81,24.0,21.7,9.74,20.0,17.05,11.55,1834.0,1525.0,971.56,0.5,2.55,4.62,1.0,1.6,2.37,2.0,2.1,1.41,0.0,0.05,0.22,0.95,2.42,3.68,1.2,1.74,2.1,12.0,24.6,29.91,50.0,56.05,49.54,30.0,55.1,70.98,0.02,0.12,0.18,0.05,0.08,0.1,0.06,0.13,0.16,0.08,0.09,0.08,1.38,1.38,0.21,62.05,62.05,17.04,58.35,58.35,58.9,0.0,0.0,0.0,33.3,31.88,16.29,0.17,0.33,0.37,0.07,0.08,0.08,15.1,15.92,4.27,440.5,551.2,398.57,77.35,76.98,7.87,7214.5,10054.05,8391.96,87.35,86.98,7.69,82.45,82.46,9.97,54.95,55.68,13.7,7.5,13.4,15.78,40.5,45.75,36.4,6.5,13.35,16.91,2.0,3.65,4.92,50.0,56.05,49.54,21.0,32.05,32.3,1.67,1.85,1.17,2.0,4.35,5.06,0.19,0.24,0.22,26.0,25.3,20.9,16.5,15.1,12.2,22.5,23.45,18.91,9.0,10.9,9.25,18.5,20.05,17.33,3.0,8.15,11.86,12.5,11.9,9.15,8.0,11.95,11.12,734.5,883.25,592.38,45.5,137.5,263.69,217.5,344.4,383.34,318.5,328.3,246.68,149.0,218.45,211.23,27.0,40.3,41.52,13.0,25.6,30.88,47.5,47.93,19.56,42.65,42.31,16.12,405.5,466.5,318.29,2463.0,2532.35,1834.4,1151.5,1287.5,1018.46,12.0,24.6,29.91,9.5,15.15,17.8,1.0,8.7,16.31,13.5,21.25,23.1,8.0,12.35,12.7,493.5,543.35,362.62,30.0,55.1,70.98,9.5,12.25,9.62,10.0,14.05,12.46,1.0,3.0,4.3,12.5,27.7,40.48,54.5,67.15,50.48,15.5,25.9,28.18,17.0,23.05,22.05,55.7,54.59,19.88
6,Brighton,24.38,25.79,5.18,19.0,17.81,8.83,9.0,12.63,9.04,903.0,1131.81,792.29,1.0,1.74,2.54,1.0,1.15,1.56,2.0,2.41,2.39,0.0,0.07,0.27,0.7,1.7,2.3,0.8,1.19,1.3,15.0,24.15,28.78,35.0,45.89,45.32,27.0,45.37,60.0,0.05,0.13,0.15,0.04,0.08,0.1,0.09,0.13,0.12,0.09,0.1,0.07,1.04,1.04,0.77,69.75,69.75,7.42,35.35,35.35,20.72,0.0,0.0,0.0,28.6,31.34,22.14,0.32,0.46,0.66,0.06,0.09,0.09,16.4,17.42,3.75,314.0,472.89,435.3,80.3,79.87,7.85,4884.0,8083.78,8415.57,91.8,89.61,6.57,82.4,82.23,9.35,52.4,54.4,16.34,9.0,10.81,9.19,20.0,35.11,43.87,8.0,10.0,9.86,1.0,2.52,3.77,35.0,45.89,45.32,22.0,27.3,21.5,2.73,2.41,1.19,3.0,3.07,2.83,0.23,0.24,0.19,15.0,20.59,17.34,10.0,12.3,10.28,15.0,20.85,16.93,9.0,10.93,8.49,12.0,13.15,11.21,2.0,3.74,5.01,8.0,9.41,9.33,8.0,9.59,9.01,569.0,709.63,554.95,25.0,79.56,178.81,114.0,230.22,295.8,238.0,308.7,288.89,132.0,178.74,166.25,16.0,31.15,38.92,12.0,25.11,30.43,42.9,45.19,21.4,48.0,46.19,20.3,326.0,409.63,345.12,1867.0,2276.37,2073.95,893.0,1244.0,1344.51,15.0,24.15,28.78,15.0,16.48,16.86,2.0,7.48,13.79,9.0,17.44,18.02,7.0,11.11,11.54,384.0,467.33,381.84,27.0,45.37,60.0,9.0,13.56,11.71,8.0,12.89,14.13,0.0,1.26,1.81,9.0,19.93,25.06,40.0,49.26,39.33,10.0,16.0,16.54,12.0,14.11,13.59,54.15,52.08,20.61
7,Chelsea,24.26,24.33,2.2,18.0,17.96,9.68,12.0,13.64,10.09,1172.0,1220.72,882.05,1.0,2.12,3.43,1.0,1.6,1.96,3.0,3.52,3.0,0.0,0.04,0.2,0.6,2.38,3.92,1.1,1.8,2.19,10.0,27.8,34.5,30.0,51.36,53.6,11.0,50.16,65.56,0.04,0.12,0.15,0.07,0.11,0.11,0.08,0.16,0.19,0.09,0.14,0.14,1.31,1.31,0.27,74.6,74.6,4.53,22.35,22.35,7.99,10.0,10.0,14.14,26.45,27.5,23.0,0.23,0.42,0.51,0.08,0.09,0.11,14.8,14.91,4.67,400.0,600.24,520.32,84.9,84.18,6.65,5899.0,10360.12,9320.59,92.0,91.09,5.8,91.2,88.68,7.44,59.1,59.98,13.91,6.0,14.88,18.89,23.0,49.8,51.89,5.0,11.08,14.41,0.0,2.04,3.81,30.0,51.36,53.6,15.0,34.76,40.9,1.74,2.16,1.57,2.0,3.72,4.12,0.19,0.23,0.22,12.0,18.92,21.25,8.0,11.96,13.2,12.0,17.92,19.83,6.0,9.0,10.44,9.0,11.76,12.09,1.0,3.48,5.15,6.0,8.28,8.93,7.0,9.0,9.98,703.0,833.32,672.88,19.0,78.44,160.83,119.0,252.08,295.81,209.0,377.76,370.99,100.0,210.24,226.39,12.0,36.72,45.16,12.0,25.84,30.47,40.4,44.46,18.77,40.0,39.42,23.9,358.0,482.24,369.22,2217.0,2556.32,1916.84,1188.0,1352.04,1019.63,10.0,27.8,34.5,10.0,16.16,17.12,1.0,10.08,18.22,6.0,14.96,16.87,5.0,10.12,10.59,442.0,595.48,475.0,11.0,50.16,65.56,8.0,14.36,14.51,11.0,14.88,15.24,1.0,2.08,3.75,3.0,20.56,33.89,37.0,50.96,44.41,8.0,13.08,15.08,6.0,12.56,12.99,43.8,49.18,24.67
8,Crystal Palace,27.12,27.1,3.14,25.0,20.57,8.81,15.0,15.62,10.99,1338.0,1401.29,929.43,0.0,1.67,3.17,0.0,1.38,2.06,2.0,2.9,2.84,0.0,0.14,0.36,0.9,2.16,3.04,1.1,1.66,1.88,11.0,18.86,19.8,44.0,44.9,35.59,9.0,44.67,58.05,0.0,0.09,0.14,0.0,0.06,0.09,0.08,0.14,0.14,0.09,0.1,0.08,1.17,1.17,0.0,70.7,70.7,0.0,30.0,30.0,0.0,50.0,50.0,0.0,35.5,30.99,18.39,0.37,0.53,0.48,0.0,0.06,0.09,17.7,18.41,5.67,430.0,454.9,346.03,75.4,74.02,7.09,6914.0,8181.14,6745.88,85.2,84.44,6.42,81.4,79.67,10.93,46.6,49.5,18.27,9.0,14.33,14.69,27.0,34.67,28.72,4.0,10.0,10.43,1.0,2.43,3.37,44.0,44.9,35.59,24.0,33.1,31.25,2.18,2.3,1.56,3.0,3.24,2.96,0.17,0.18,0.17,20.0,30.38,26.57,12.0,18.05,16.8,23.0,25.81,19.41,13.0,12.76,8.94,16.0,18.24,15.58,2.0,5.1,6.11,11.0,13.14,11.2,10.0,12.1,12.33,700.0,776.1,543.7,24.0,96.14,190.55,155.0,287.1,324.34,332.0,325.19,237.96,114.0,171.24,164.63,14.0,29.29,31.93,10.0,18.81,27.11,41.25,39.62,25.2,47.7,49.44,26.36,346.0,387.05,274.35,1696.0,1977.76,1456.72,814.0,946.14,701.65,11.0,18.86,19.8,9.0,13.19,12.23,1.0,4.95,7.02,12.0,18.33,18.25,12.0,13.33,12.92,462.0,450.81,309.56,9.0,44.67,58.05,10.0,15.24,14.02,17.0,15.76,13.55,1.0,2.86,4.73,7.0,22.62,28.58,56.0,64.67,48.56,14.0,20.05,20.08,19.0,25.24,23.28,43.1,41.75,19.72
